name	stability	stability_lower_95ci	stability_upper_95ci	r2_mean	r2_std	r2_25%	r2_75%
p53 signaling pathway: ADGRB1	0.783758481807255	0.7697946625950165	0.7977223010194936	0.6252145300231734	0.012502050278847529	0.6166958418523516	0.6336796298080611
p53 signaling pathway: CD82	0.6854784571818175	0.6705770446119563	0.7003798697516788	0.6550008553527357	0.006170878429222181	0.6513044675418488	0.659605943641169
p53 signaling pathway: THBS1	0.7769630716309296	0.7628448652832915	0.7910812779785676	0.6665736267495965	0.0056794282930340044	0.6627567137484547	0.6706264848887799
p53 signaling pathway: SERPINB5	0.7725646889185224	0.75927981442468	0.7858495634123648	0.6307409114316843	0.02497991947795976	0.6150069913625442	0.6480799077190493
p53 signaling pathway: DDB2	0.6724354494063953	0.6585329254787701	0.6863379733340206	0.670568237001571	0.0059178195448601105	0.6672913893845053	0.6745771411822703
p53 signaling pathway: RRM2B	0.7341728478555748	0.7167979640283105	0.7515477316828391	0.5710125924878688	0.006961691123788477	0.5664256281161963	0.5756738736619967
p53 signaling pathway: GADD45G	0.7898677154333775	0.773409985207185	0.8063254456595701	0.5971651342464809	0.006656458009162876	0.5926990497907982	0.6015807110636928
p53 signaling pathway: SESN3	0.70707886140007	0.68734733741096	0.7268103853891801	0.5718293482794596	0.007009462898352196	0.5671907173687621	0.5759881998535392
p53 signaling pathway: PTEN	0.782199457798437	0.7662942806904097	0.7981046349064643	0.5891815456796413	0.006962003073903553	0.585387710795058	0.5936192278717655
p53 signaling pathway: TSC2	0.7339552515540412	0.7169128854461617	0.7509976176619206	0.5767415665759866	0.0070308094589198586	0.5719583364165408	0.5808872267515457
p53 signaling pathway: IGFBP3	0.7868404268236272	0.773801383502106	0.7998794701451484	0.667982759592628	0.007733646350996882	0.6640587210917981	0.6735092356892887
p53 signaling pathway: STEAP3	0.5803800266540754	0.550881579361122	0.6098784739470288	0.6093798964010788	0.027333972591418093	0.5872617856400364	0.6279359331607445
p53 signaling pathway: MDM2*	0.731313722183216	0.7162649610053393	0.7463624833610927	0.5789356577087841	0.00699388621324511	0.5746409693644944	0.5831150294519527
p53 signaling pathway: RFWD2	0.7352950803062758	0.7188022801131938	0.7517878804993577	0.6226093364218908	0.006086838422146179	0.6191199389355366	0.6255652862472405
p53 signaling pathway: RCHY1	0.4396269720941469	0.3696793550371165	0.5095745891511773	0.4986222662960931	0.03493205225449101	0.466409052470738	0.5261892031511788
p53 signaling pathway: CCNG1	0.751628134334783	0.7336303687070361	0.76962589996253	0.581239756414979	0.007289598695326148	0.5757570313341178	0.5855338405914866
p53 signaling pathway: SIAH1	0.4931459975159337	0.4309875147043832	0.5553044803274841	0.5135782443747473	0.03156099471812693	0.4876828008136934	0.5384907602264349
p53 signaling pathway: PPM1D	0.526645628559448	0.47118696524897746	0.5821042918699185	0.5303036067018809	0.030852454771612334	0.5046961034360822	0.5553709066170432
p53 signaling pathway: TP73	0.7402751843653665	0.7204727836489452	0.7600775850817879	0.56697128002661	0.018609816939372397	0.5547621144640082	0.5799667050309071
PI3K-Akt signaling pathway: CCND1 CDK2	0.7275729092275947	0.6970625960975005	0.7580832223576888	0.512535787522672	0.011533264024940324	0.5053180510032367	0.5214077574963544
TGF-beta signaling pathway: CDKN2B	0.3880229370030913	0.3430447155990325	0.43300115840715014	0.4949734887293142	0.009173937528417265	0.48917228873453367	0.5005533784732781
Tight junction: TJP1 YBX3 CDK4	0.8141158529946084	0.8062580332835375	0.8219736727056793	0.9587833730315023	0.001972098901142966	0.9579117273337162	0.9599008622007038
Melanogenesis: TYR*	0.7296094752221532	0.715481909221543	0.7437370412227635	0.7955800287386156	0.014248713004131962	0.7876715341609392	0.8055619609178667
Melanogenesis: TYRP1	0.6396348325210612	0.6086096023633175	0.670660062678805	0.5850590846893894	0.01114863872866873	0.5787572326914675	0.5912311026713757
Melanogenesis: DCT	0.6398431820095689	0.6231896888055173	0.6564966752136205	0.6858702758934799	0.011383429148271264	0.6800013133839294	0.6930386630316097
Melanogenesis: MITF*	0.710509334435001	0.6986755279277654	0.7223431409422365	0.7107540135282661	0.009284992086956113	0.7048313794205026	0.7170051177484873
