Marital status,Application mode,Application order,Course,evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Unemployment rate,Inflation rate,GDP,Output
1,1,1,12,1,1,1,22,28,7,7,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,0
1,1,1,15,1,1,1,1,14,8,8,1,0,0,1,0,1,20,0,9.4,-0.8,-3.12,0
1,1,3,8,1,1,1,22,27,12,12,0,0,0,1,0,0,19,0,7.6,2.6,0.32,0
1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,0,27,0,9.4,-0.8,-3.12,1
1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,0
2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,0,39,0,12.4,0.5,1.79,1
1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,27,0,12.4,0.5,1.79,1
1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,0
1,1,3,2,1,1,1,23,27,5,10,1,0,0,1,0,0,18,0,7.6,2.6,0.32,0
1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,0,18,0,16.2,0.3,-0.92,0
1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,0
1,8,3,2,1,1,1,1,27,5,8,1,0,0,1,1,1,19,0,10.8,1.4,1.74,0
1,8,1,5,1,1,1,1,1,4,5,1,0,0,1,1,0,19,0,10.8,1.4,1.74,0
1,14,1,5,1,1,1,1,1,4,4,0,0,0,1,1,0,24,0,12.7,3.7,-1.7,0
4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,1,0,29,0,13.9,-0.3,0.79,1
1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,1,19,0,10.8,1.4,1.74,0
1,15,1,4,1,14,1,13,27,10,10,1,0,0,1,1,0,23,0,8.9,1.4,3.51,0
1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,1,0,19,0,16.2,0.3,-0.92,1
1,12,1,11,1,1,1,13,27,8,11,0,0,0,1,1,0,26,0,12.7,3.7,-1.7,0
1,8,1,9,1,1,1,23,27,6,6,0,0,0,1,1,0,18,0,7.6,2.6,0.32,0
1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,0
1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,1,0,19,0,15.5,2.8,-4.06,1
1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,1,0,18,0,12.4,0.5,1.79,1
1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,1,0,18,0,10.8,1.4,1.74,0
1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,1,0,18,0,10.8,1.4,1.74,1
1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,1,21,0,9.4,-0.8,-3.12,1
1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,1,19,0,8.9,1.4,3.51,0
1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,1,22,0,16.2,0.3,-0.92,0
2,12,1,3,0,1,1,22,27,10,7,0,0,0,1,1,0,33,0,10.8,1.4,1.74,0
1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,1,0,20,0,10.8,1.4,1.74,1
1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,1,0,35,0,10.8,1.4,1.74,1
1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,24,0,12.4,0.5,1.79,1
1,8,1,11,1,1,1,13,14,5,5,0,0,0,1,1,0,18,0,12.7,3.7,-1.7,0
2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,0,33,0,9.4,-0.8,-3.12,0
1,13,1,12,1,1,1,22,28,10,8,1,0,0,1,0,1,22,0,10.8,1.4,1.74,0
1,12,1,14,1,1,1,1,14,5,6,0,0,0,1,0,1,25,0,9.4,-0.8,-3.12,0
1,8,1,5,1,1,1,13,28,5,1,1,0,0,1,1,0,20,0,7.6,2.6,0.32,0
1,1,6,9,1,1,1,23,27,10,10,1,0,0,1,1,0,23,0,11.1,0.6,2.02,0
1,14,2,7,1,1,1,23,14,10,7,1,0,1,1,1,0,18,0,15.5,2.8,-4.06,0
1,12,1,12,1,1,1,1,1,5,11,0,0,0,1,1,0,24,0,13.9,-0.3,0.79,1
1,8,2,15,1,1,14,13,1,10,10,1,0,0,0,0,0,21,1,8.9,1.4,3.51,0
1,6,1,8,1,1,14,1,1,5,5,0,0,0,1,0,0,26,1,8.9,1.4,3.51,1
2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,0,39,0,7.6,2.6,0.32,1
2,12,1,3,0,1,1,22,14,10,10,0,0,0,1,0,0,44,0,12.7,3.7,-1.7,0
1,6,1,7,1,1,12,23,3,10,3,1,0,0,1,1,0,19,1,13.9,-0.3,0.79,0
1,1,5,15,1,1,1,22,1,6,6,1,0,0,1,0,0,18,0,8.9,1.4,3.51,0
1,1,5,12,1,1,1,22,27,8,8,1,0,0,1,0,1,18,0,12.4,0.5,1.79,0
1,1,1,6,1,1,1,1,2,10,2,1,0,0,1,0,0,19,0,12.7,3.7,-1.7,0
1,1,4,12,1,1,1,3,3,3,3,1,0,1,0,0,0,19,0,13.9,-0.3,0.79,1
1,17,1,6,1,16,1,23,28,10,10,0,0,0,1,0,0,21,0,8.9,1.4,3.51,1
1,1,4,2,1,1,1,1,1,10,11,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,0
2,12,1,3,0,1,1,22,27,7,6,1,0,0,1,0,0,36,0,9.4,-0.8,-3.12,1
4,12,1,4,1,9,1,22,27,10,7,0,0,0,1,0,0,43,0,15.5,2.8,-4.06,0
1,9,1,16,1,1,1,13,14,10,8,1,0,0,1,0,0,19,0,11.1,0.6,2.02,1
1,16,1,5,1,1,1,3,1,3,9,0,0,1,1,0,0,20,0,11.1,0.6,2.02,0
1,1,2,10,1,1,1,22,28,5,8,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,1
1,1,1,6,1,1,1,1,1,5,5,1,0,0,1,0,0,20,0,15.5,2.8,-4.06,1
1,1,5,12,1,1,1,3,4,5,4,1,0,0,1,0,0,20,0,12.4,0.5,1.79,1
1,8,2,16,1,1,1,13,1,10,4,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,0
1,1,1,10,1,1,1,22,27,7,8,1,0,0,1,0,0,18,0,13.9,-0.3,0.79,0
1,8,2,9,1,1,1,1,28,5,8,1,0,0,1,0,1,18,0,8.9,1.4,3.51,0
1,1,1,6,1,1,1,13,14,10,10,1,0,0,1,0,0,19,0,10.8,1.4,1.74,0
1,1,3,15,1,1,1,1,28,5,8,1,0,0,1,0,0,18,0,10.8,1.4,1.74,0
1,8,2,12,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,7.6,2.6,0.32,1
1,14,1,12,1,1,1,23,28,10,6,0,0,0,1,0,0,20,0,13.9,-0.3,0.79,0
1,8,1,10,1,1,1,13,27,10,8,1,0,0,1,0,1,20,0,7.6,2.6,0.32,0
1,8,1,9,1,1,1,13,14,4,4,0,0,0,1,0,0,20,0,12.4,0.5,1.79,0
1,1,2,6,1,1,1,22,28,10,8,0,0,0,1,0,0,18,0,9.4,-0.8,-3.12,0
1,1,1,9,1,1,1,2,14,5,6,0,0,0,1,0,0,18,0,11.1,0.6,2.02,0
1,8,1,11,1,1,1,1,1,5,6,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,1
1,1,2,9,1,1,1,13,14,10,8,1,0,0,1,0,0,19,0,16.2,0.3,-0.92,0
1,1,1,2,1,1,1,3,14,3,10,0,0,0,1,0,0,19,0,10.8,1.4,1.74,1
1,1,1,14,1,1,1,23,28,10,10,0,0,0,1,0,1,19,0,9.4,-0.8,-3.12,0
1,1,1,6,1,1,1,13,28,5,8,1,0,0,1,0,0,19,0,15.5,2.8,-4.06,0
1,8,6,13,1,1,1,1,1,5,6,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,1
1,15,1,6,1,14,1,22,27,10,10,1,0,0,1,0,0,20,0,12.4,0.5,1.79,0
1,1,1,16,1,1,1,13,28,10,4,1,0,0,1,0,1,18,0,9.4,-0.8,-3.12,0
1,8,3,10,1,1,1,1,29,6,4,1,0,0,1,0,0,18,0,12.4,0.5,1.79,0
1,8,6,12,1,1,1,1,27,9,10,1,0,0,1,0,0,19,0,12.4,0.5,1.79,0
1,1,3,12,1,1,1,13,14,6,9,1,0,0,1,0,1,18,0,13.9,-0.3,0.79,1
1,8,2,5,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,7.6,2.6,0.32,0
1,1,4,9,1,1,1,1,14,5,9,1,0,0,1,0,0,19,0,8.9,1.4,3.51,0
1,8,6,12,1,1,1,1,14,4,4,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,1
1,14,1,10,1,1,1,23,27,10,8,0,0,0,1,0,0,20,0,7.6,2.6,0.32,0
1,1,1,14,1,1,1,1,28,4,10,0,0,1,0,0,1,19,0,12.4,0.5,1.79,1
1,8,1,14,1,1,1,13,14,6,6,1,0,0,1,0,0,20,0,7.6,2.6,0.32,0
1,1,1,15,1,1,1,1,1,20,39,0,0,1,1,0,1,18,0,8.9,1.4,3.51,0
1,1,2,12,1,1,1,13,1,5,8,0,0,0,1,0,1,20,0,11.1,0.6,2.02,0
1,9,1,12,1,1,1,13,1,5,9,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,0
1,1,5,12,1,1,1,22,27,10,10,1,0,0,1,0,0,19,0,7.6,2.6,0.32,0
1,1,6,15,1,1,1,13,1,5,5,1,0,0,1,0,1,19,0,12.4,0.5,1.79,0
1,16,1,9,1,1,1,3,1,4,4,1,0,1,0,0,0,22,0,8.9,1.4,3.51,0
1,1,3,10,1,1,1,1,10,10,11,1,0,0,1,0,1,19,0,12.4,0.5,1.79,0
1,1,3,12,1,1,1,13,14,10,8,1,0,0,1,0,1,19,0,15.5,2.8,-4.06,0
1,8,5,16,1,1,1,22,28,6,7,1,0,0,1,0,1,19,0,9.4,-0.8,-3.12,0
1,1,4,11,1,1,1,10,14,10,10,1,0,0,1,0,0,19,0,7.6,2.6,0.32,1
1,8,1,11,1,1,1,1,27,10,11,1,0,0,1,0,0,20,0,7.6,2.6,0.32,1
1,1,1,9,1,1,1,3,14,3,11,0,0,0,1,0,0,18,0,13.9,-0.3,0.79,0
1,1,1,12,1,1,1,1,14,10,10,0,0,0,1,0,1,20,0,11.1,0.6,2.02,0
1,1,1,2,1,1,1,3,27,3,9,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,0
1,1,1,6,1,1,1,1,28,5,8,0,0,0,1,0,0,19,0,7.6,2.6,0.32,0
1,8,1,16,1,1,1,23,28,8,7,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,0
1,1,1,16,1,1,1,22,27,10,10,1,0,0,1,0,0,18,0,7.6,2.6,0.32,0
1,14,1,16,1,1,1,3,27,3,6,1,0,0,1,0,0,21,0,9.4,-0.8,-3.12,1
1,1,1,16,1,1,1,23,27,7,7,0,0,0,1,0,0,19,0,7.6,2.6,0.32,1
1,1,1,9,1,1,1,23,28,10,10,0,0,0,1,0,1,18,0,12.4,0.5,1.79,0
1,8,2,10,1,1,1,1,27,8,10,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,0
1,1,3,10,1,1,1,13,1,10,11,1,0,0,1,0,0,20,0,9.4,-0.8,-3.12,0
1,12,1,3,0,1,1,1,14,7,9,0,0,0,1,0,1,24,0,11.1,0.6,2.02,0
1,1,1,14,1,1,1,13,1,5,2,0,0,0,1,0,0,19,0,10.8,1.4,1.74,1
1,1,1,12,1,1,1,13,27,10,8,1,0,0,1,0,1,18,0,15.5,2.8,-4.06,0
1,1,2,12,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,15.5,2.8,-4.06,0
1,8,5,16,1,1,1,10,10,5,5,1,0,0,1,0,0,21,0,10.8,1.4,1.74,1
1,8,2,14,1,1,1,1,14,6,5,0,0,0,1,0,0,19,0,7.6,2.6,0.32,0
1,8,1,15,1,1,1,13,27,8,8,0,0,0,1,0,1,19,0,15.5,2.8,-4.06,0
3,12,1,4,1,1,1,1,27,7,7,0,0,1,1,0,0,47,0,8.9,1.4,3.51,0
1,8,3,10,1,1,1,13,14,8,9,0,0,0,1,0,0,19,0,13.9,-0.3,0.79,0
1,12,1,12,1,3,1,2,2,2,2,0,0,0,1,0,0,29,0,12.7,3.7,-1.7,0
1,14,1,10,1,1,1,13,14,5,9,1,0,0,1,0,0,21,0,16.2,0.3,-0.92,1
1,12,1,6,1,1,1,22,14,10,8,1,0,0,1,0,0,28,0,12.7,3.7,-1.7,0
1,8,2,13,1,1,1,22,27,4,11,0,0,0,1,0,0,20,0,15.5,2.8,-4.06,0
1,8,1,12,1,1,1,2,28,5,6,1,0,0,1,0,0,19,0,7.6,2.6,0.32,0
1,13,1,3,0,1,1,13,2,5,7,0,0,0,1,0,0,26,0,9.4,-0.8,-3.12,0
1,8,2,11,1,1,1,22,27,10,9,1,0,1,0,0,0,20,0,11.1,0.6,2.02,1
1,1,1,14,1,1,1,22,27,10,10,1,0,0,1,0,1,18,0,7.6,2.6,0.32,0
1,12,1,16,1,1,1,22,14,10,6,0,0,0,1,0,0,27,0,7.6,2.6,0.32,0
1,1,2,12,1,1,1,19,24,12,12,1,0,0,1,0,0,20,0,7.6,2.6,0.32,1
1,1,5,16,1,1,1,22,14,10,6,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,1
1,4,1,12,1,3,1,1,1,10,6,0,0,0,1,0,0,33,0,16.2,0.3,-0.92,1
1,14,1,16,1,1,1,3,1,4,4,1,0,0,1,0,0,35,0,12.4,0.5,1.79,0
1,15,1,17,0,14,1,22,14,10,9,0,0,0,1,0,1,26,0,9.4,-0.8,-3.12,0
1,12,1,15,1,12,1,13,14,4,5,0,0,1,0,0,0,27,0,11.1,0.6,2.02,1
1,9,3,5,1,1,1,1,27,6,6,1,0,0,0,0,0,19,0,15.5,2.8,-4.06,1
1,8,2,11,1,1,1,1,14,5,7,0,0,0,1,0,0,20,0,11.1,0.6,2.02,1
1,9,2,9,1,1,1,3,3,6,8,1,0,1,0,0,0,20,0,10.8,1.4,1.74,1
1,14,1,10,1,1,1,1,27,6,10,0,0,1,0,0,0,21,0,9.4,-0.8,-3.12,0
1,8,3,12,1,1,1,23,1,10,5,1,0,0,1,0,1,18,0,7.6,2.6,0.32,0
1,12,1,6,1,1,1,1,14,10,10,1,0,0,1,0,0,24,0,8.9,1.4,3.51,1
1,8,4,5,1,1,1,1,3,5,2,1,0,0,1,0,0,20,0,16.2,0.3,-0.92,0
1,1,1,11,1,1,1,13,28,10,9,0,0,0,1,0,1,21,0,13.9,-0.3,0.79,0
1,1,1,3,0,1,1,1,27,8,4,0,0,0,1,0,0,23,0,9.4,-0.8,-3.12,0
1,12,1,9,1,1,1,10,3,5,4,1,0,0,1,0,0,24,0,7.6,2.6,0.32,1
1,16,1,16,1,1,1,1,1,5,11,0,0,0,1,0,0,21,0,12.4,0.5,1.79,1
1,1,4,12,1,1,1,23,28,10,9,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,0
1,12,1,17,0,15,1,13,1,4,5,1,0,0,1,0,0,27,0,8.9,1.4,3.51,1
1,9,6,12,1,1,1,22,27,6,6,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,0
1,4,1,7,1,3,1,3,2,3,3,0,0,0,1,0,0,35,0,13.9,-0.3,0.79,1
1,1,1,16,1,1,1,13,14,4,9,0,0,0,1,0,0,18,0,11.1,0.6,2.02,0
1,12,1,12,1,1,1,1,3,28,19,0,0,0,1,0,0,35,0,11.1,0.6,2.02,0
1,1,1,6,1,1,1,1,1,5,8,1,0,0,1,0,0,19,0,10.8,1.4,1.74,0
1,1,4,10,1,1,1,13,14,5,1,1,0,0,1,0,0,20,0,7.6,2.6,0.32,0
1,1,4,12,1,1,1,13,14,8,8,1,0,0,1,0,0,18,0,10.8,1.4,1.74,0
1,15,1,10,1,14,1,23,28,6,11,0,0,1,1,0,0,21,0,13.9,-0.3,0.79,0
1,8,2,10,1,1,1,13,27,10,9,0,0,0,1,0,1,18,0,16.2,0.3,-0.92,0
1,1,1,10,1,1,1,19,24,1,1,1,0,0,1,0,0,18,0,7.6,2.6,0.32,0
1,1,2,12,1,1,1,13,28,10,10,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,0
1,1,4,15,1,1,1,3,14,2,5,1,0,0,1,0,1,18,0,16.2,0.3,-0.92,0
1,1,1,6,1,1,1,13,1,9,8,1,0,0,1,0,0,19,0,13.9,-0.3,0.79,0
1,12,1,11,1,12,1,3,14,3,4,0,0,0,1,0,1,36,0,16.2,0.3,-0.92,1
1,1,2,12,1,1,1,23,1,8,5,1,0,0,1,0,1,18,0,12.7,3.7,-1.7,0
1,1,1,12,1,1,1,22,27,10,10,0,0,0,1,0,1,18,0,7.6,2.6,0.32,0
1,14,1,8,1,1,1,1,3,10,3,1,0,0,1,0,1,20,0,13.9,-0.3,0.79,0
1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,1,26,0,16.2,0.3,-0.92,1
1,14,1,15,1,1,1,1,1,5,6,0,0,0,1,0,0,21,0,7.6,2.6,0.32,0
1,12,1,13,1,15,1,1,1,5,6,0,0,0,1,0,0,25,0,15.5,2.8,-4.06,0
1,9,1,9,1,1,1,13,3,6,6,1,0,0,1,0,1,19,0,12.4,0.5,1.79,0
1,12,1,3,0,1,1,13,27,9,8,1,0,0,1,0,0,24,0,9.4,-0.8,-3.12,1
1,12,1,3,0,1,1,1,14,6,5,0,0,0,1,0,1,27,0,8.9,1.4,3.51,1
1,8,1,6,1,1,1,13,27,2,4,0,0,0,1,0,0,21,0,7.6,2.6,0.32,1
1,1,1,9,1,1,1,23,28,8,8,0,0,0,1,0,1,18,0,9.4,-0.8,-3.12,0
2,1,4,16,1,1,1,22,27,6,8,0,1,0,1,0,1,19,0,10.8,1.4,1.74,0
1,1,3,11,1,1,1,1,1,4,4,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,1
1,16,1,12,1,1,1,13,1,6,10,0,0,0,1,0,1,19,0,11.1,0.6,2.02,0
1,9,1,12,1,1,1,1,28,5,6,1,0,0,1,0,1,19,0,16.2,0.3,-0.92,0
2,4,1,17,0,17,1,25,5,4,4,0,0,0,1,0,0,33,0,11.1,0.6,2.02,0
2,4,1,9,1,3,1,1,4,4,11,0,0,0,1,0,0,45,0,12.4,0.5,1.79,0
1,1,1,10,1,1,1,1,1,10,10,0,0,0,1,0,1,20,0,11.1,0.6,2.02,0
1,12,2,14,1,1,1,19,24,1,1,1,0,0,1,0,0,28,0,7.6,2.6,0.32,1
1,14,1,12,1,1,1,1,1,6,9,1,0,0,1,0,1,19,0,12.7,3.7,-1.7,0
1,1,2,11,1,1,1,1,27,5,6,1,0,0,1,0,0,18,0,12.7,3.7,-1.7,0
1,12,1,11,1,3,1,13,14,5,7,0,0,0,1,0,0,38,0,15.5,2.8,-4.06,1
1,1,2,14,1,1,1,1,3,5,4,0,0,0,1,0,0,19,0,9.4,-0.8,-3.12,0
1,1,1,11,1,1,1,1,27,10,10,0,0,0,1,0,1,21,0,15.5,2.8,-4.06,0
1,1,1,9,1,1,1,22,1,10,11,0,0,0,1,0,0,21,0,16.2,0.3,-0.92,1
1,1,1,10,1,1,1,23,27,10,10,0,0,0,1,0,1,22,0,10.8,1.4,1.74,0
1,1,1,16,1,1,1,13,14,6,8,0,0,0,1,0,1,18,0,9.4,-0.8,-3.12,0
1,8,2,10,1,1,1,22,27,4,10,0,1,0,1,0,1,18,0,15.5,2.8,-4.06,0
1,1,1,8,1,1,1,13,1,10,10,1,0,0,0,0,0,25,0,9.4,-0.8,-3.12,1
1,12,1,6,1,12,1,13,14,10,8,0,0,1,0,0,0,24,0,16.2,0.3,-0.92,1
1,1,3,12,1,1,1,3,1,5,5,1,0,0,1,0,0,19,0,12.4,0.5,1.79,0
1,7,1,2,1,1,1,3,3,4,4,1,0,0,1,0,0,24,0,12.4,0.5,1.79,0
1,1,2,9,1,1,1,22,14,6,6,1,0,0,1,0,1,20,0,12.4,0.5,1.79,0
1,12,1,9,1,1,1,22,1,10,2,0,0,0,0,0,0,25,0,10.8,1.4,1.74,1
1,1,1,9,1,1,1,23,14,10,11,0,0,0,1,0,1,20,0,8.9,1.4,3.51,0
1,4,1,12,1,3,1,13,28,6,4,0,0,0,1,0,0,23,0,9.4,-0.8,-3.12,0
1,8,3,12,1,1,1,13,27,8,7,1,0,0,1,0,1,19,0,10.8,1.4,1.74,0
1,15,1,4,1,14,1,22,27,10,11,0,0,1,0,0,0,29,0,13.9,-0.3,0.79,1
1,1,3,11,1,1,1,13,27,5,8,1,0,0,1,0,0,21,0,11.1,0.6,2.02,0
1,1,1,14,1,1,1,13,1,10,9,1,0,0,1,0,1,18,0,11.1,0.6,2.02,0
1,1,3,5,1,1,1,13,28,10,10,1,0,0,1,0,0,19,0,9.4,-0.8,-3.12,0
1,1,3,15,1,1,1,23,27,8,8,1,0,0,1,0,1,18,0,8.9,1.4,3.51,1
1,1,1,6,1,1,1,7,14,12,7,0,0,0,1,0,0,19,0,7.6,2.6,0.32,0
1,1,1,15,1,1,1,22,27,10,9,1,0,0,1,0,0,18,0,9.4,-0.8,-3.12,0
1,8,1,9,1,1,1,1,1,5,5,0,0,0,1,0,0,18,0,8.9,1.4,3.51,0
2,12,1,13,1,12,1,23,27,8,8,1,0,1,0,0,1,37,0,8.9,1.4,3.51,1
1,8,1,17,0,15,1,22,27,7,7,0,0,0,1,0,0,29,0,16.2,0.3,-0.92,0
1,8,3,5,1,1,1,22,27,10,10,0,0,0,1,0,0,18,0,7.6,2.6,0.32,0
1,1,1,10,1,1,1,1,1,10,9,1,0,0,1,0,1,19,0,12.4,0.5,1.79,0
1,14,1,10,1,1,1,1,1,4,2,1,0,1,0,0,0,22,0,16.2,0.3,-0.92,1
