drug	drug_action	KDT	KDT_name	Drug_effect	drugKDT
Alfuzosin	antagonist	148	ADRA1A	Inhibitor	Alfuzosin148
Nicergoline	antagonist	148	ADRA1A	Inhibitor	Nicergoline148
Methoxamine	agonist	148	ADRA1A	Activator	Methoxamine148
Naphazoline	agonist	148	ADRA1A	Activator	Naphazoline148
Ergotamine	partial agonist	148	ADRA1A	Activator	Ergotamine148
Apraclonidine	agonist	148	ADRA1A	Activator	Apraclonidine148
Midodrine	agonist	148	ADRA1A	Activator	Midodrine148
Carvedilol	antagonist|potentiator	148	ADRA1A	Inhibitor	Carvedilol148
Phentolamine	antagonist	148	ADRA1A	Inhibitor	Phentolamine148
Propiverine	antagonist	148	ADRA1A	Inhibitor	Propiverine148
Phendimetrazine	agonist	148	ADRA1A	Activator	Phendimetrazine148
Dapiprazole	antagonist	148	ADRA1A	Inhibitor	Dapiprazole148
Droperidol	antagonist	148	ADRA1A	Inhibitor	Droperidol148
Pseudoephedrine	agonist	148	ADRA1A	Activator	Pseudoephedrine148
Ergometrine	agonist	148	ADRA1A	Activator	Ergometrine148
Droxidopa	agonist	148	ADRA1A	Activator	Droxidopa148
Tamsulosin	antagonist	148	ADRA1A	Inhibitor	Tamsulosin148
Ephedrine	agonist	148	ADRA1A	Activator	Ephedrine148
Norepinephrine	agonist	148	ADRA1A	Activator	Norepinephrine148
Phentolamine	antagonist	150	ADRA2A	Inhibitor	Phentolamine150
Pseudoephedrine	agonist	150	ADRA2A	Activator	Pseudoephedrine150
Epinephrine	agonist	150	ADRA2A	Activator	Epinephrine150
Apraclonidine	agonist	150	ADRA2A	Activator	Apraclonidine150
Dexmedetomidine	agonist	150	ADRA2A	Activator	Dexmedetomidine150
Clonidine	agonist	150	ADRA2A	Activator	Clonidine150
DL-Methylephedrine	agonist	150	ADRA2A	Activator	DL-Methylephedrine150
Lofexidine	agonist	150	ADRA2A	Activator	Lofexidine150
Yohimbine	antagonist	150	ADRA2A	Inhibitor	Yohimbine150
Periciazine	antagonist	150	ADRA2A	Inhibitor	Periciazine150
Mirtazapine	antagonist	150	ADRA2A	Inhibitor	Mirtazapine150
Dronedarone	antagonist	150	ADRA2A	Inhibitor	Dronedarone150
Guanabenz	agonist	150	ADRA2A	Activator	Guanabenz150
Dipivefrin	agonist	150	ADRA2A	Activator	Dipivefrin150
Naphazoline	agonist	150	ADRA2A	Activator	Naphazoline150
Brimonidine	agonist	150	ADRA2A	Activator	Brimonidine150
Norepinephrine	agonist	150	ADRA2A	Activator	Norepinephrine150
Xylometazoline	agonist	150	ADRA2A	Activator	Xylometazoline150
Guanfacine	agonist	150	ADRA2A	Activator	Guanfacine150
Methyldopa	agonist	150	ADRA2A	Activator	Methyldopa150
Droxidopa	agonist	150	ADRA2A	Activator	Droxidopa150
Benzphetamine	agonist	150	ADRA2A	Activator	Benzphetamine150
Racepinephrine	agonist	150	ADRA2A	Activator	Racepinephrine150
Oxymetazoline	agonist|partial agonist	150	ADRA2A	Activator	Oxymetazoline150
Phenoxybenzamine	antagonist	150	ADRA2A	Inhibitor	Phenoxybenzamine150
Moxonidine	agonist	150	ADRA2A	Activator	Moxonidine150
Clonidine	agonist	151	ADRA2B	Activator	Clonidine151
Racepinephrine	agonist	151	ADRA2B	Activator	Racepinephrine151
Droxidopa	agonist	151	ADRA2B	Activator	Droxidopa151
Norepinephrine	agonist	151	ADRA2B	Activator	Norepinephrine151
Brimonidine	agonist	151	ADRA2B	Activator	Brimonidine151
Xylometazoline	agonist	151	ADRA2B	Activator	Xylometazoline151
Dronedarone	antagonist	151	ADRA2B	Inhibitor	Dronedarone151
Yohimbine	antagonist	151	ADRA2B	Inhibitor	Yohimbine151
Oxymetazoline	agonist	151	ADRA2B	Activator	Oxymetazoline151
Etomidate	agonist	151	ADRA2B	Activator	Etomidate151
Epinephrine	agonist	151	ADRA2B	Activator	Epinephrine151
Norepinephrine	agonist	152	ADRA2C	Activator	Norepinephrine152
Brimonidine	agonist	152	ADRA2C	Activator	Brimonidine152
Dronedarone	antagonist	152	ADRA2C	Inhibitor	Dronedarone152
Yohimbine	antagonist	152	ADRA2C	Inhibitor	Yohimbine152
Droxidopa	agonist	152	ADRA2C	Activator	Droxidopa152
Brexpiprazole	antagonist	152	ADRA2C	Inhibitor	Brexpiprazole152
Clonidine	agonist	152	ADRA2C	Activator	Clonidine152
Racepinephrine	agonist	152	ADRA2C	Activator	Racepinephrine152
Pindolol	partial agonist	153	ADRB1	Activator	Pindolol153
Propranolol	antagonist	153	ADRB1	Inhibitor	Propranolol153
Carteolol	partial agonist	153	ADRB1	Activator	Carteolol153
DL-Methylephedrine	agonist	153	ADRB1	Activator	DL-Methylephedrine153
Epinephrine	agonist	153	ADRB1	Activator	Epinephrine153
Labetalol	antagonist	153	ADRB1	Inhibitor	Labetalol153
Dobutamine	agonist	153	ADRB1	Activator	Dobutamine153
Levobunolol	antagonist	153	ADRB1	Inhibitor	Levobunolol153
Racepinephrine	agonist	153	ADRB1	Activator	Racepinephrine153
Isoetharine	agonist	153	ADRB1	Activator	Isoetharine153
Nebivolol	antagonist	153	ADRB1	Inhibitor	Nebivolol153
Atenolol	antagonist	153	ADRB1	Inhibitor	Atenolol153
Levobetaxolol	antagonist	153	ADRB1	Inhibitor	Levobetaxolol153
Sotalol	antagonist	153	ADRB1	Inhibitor	Sotalol153
Isoprenaline	agonist	153	ADRB1	Activator	Isoprenaline153
Metipranolol	antagonist	153	ADRB1	Inhibitor	Metipranolol153
Nadolol	antagonist	153	ADRB1	Inhibitor	Nadolol153
Acebutolol	partial agonist	153	ADRB1	Activator	Acebutolol153
Oxprenolol	antagonist	153	ADRB1	Inhibitor	Oxprenolol153
Metoprolol	antagonist	153	ADRB1	Inhibitor	Metoprolol153
Arbutamine	agonist	153	ADRB1	Activator	Arbutamine153
Droxidopa	agonist	153	ADRB1	Activator	Droxidopa153
Timolol	antagonist	153	ADRB1	Inhibitor	Timolol153
Practolol	antagonist	153	ADRB1	Inhibitor	Practolol153
Penbutolol	antagonist|partial agonist	153	ADRB1	Inhibitor	Penbutolol153
Bisoprolol	antagonist	153	ADRB1	Inhibitor	Bisoprolol153
Betaxolol	antagonist	153	ADRB1	Inhibitor	Betaxolol153
Xamoterol	partial agonist	153	ADRB1	Activator	Xamoterol153
Norepinephrine	agonist	153	ADRB1	Activator	Norepinephrine153
Celiprolol	antagonist	153	ADRB1	Inhibitor	Celiprolol153
Ephedrine	agonist	153	ADRB1	Activator	Ephedrine153
Carvedilol	antagonist	153	ADRB1	Inhibitor	Carvedilol153
Celiprolol	agonist	154	ADRB2	Activator	Celiprolol154
Labetalol	antagonist	154	ADRB2	Inhibitor	Labetalol154
Orciprenaline	agonist	154	ADRB2	Activator	Orciprenaline154
Vilanterol	agonist	154	ADRB2	Activator	Vilanterol154
Norepinephrine	agonist	154	ADRB2	Activator	Norepinephrine154
Epinephrine	agonist	154	ADRB2	Activator	Epinephrine154
Terbutaline	agonist	154	ADRB2	Activator	Terbutaline154
Arformoterol	agonist	154	ADRB2	Activator	Arformoterol154
Pindolol	partial agonist	154	ADRB2	Activator	Pindolol154
Isoprenaline	agonist|binder	154	ADRB2	Activator	Isoprenaline154
Penbutolol	antagonist|partial agonist	154	ADRB2	Inhibitor	Penbutolol154
Metipranolol	antagonist	154	ADRB2	Inhibitor	Metipranolol154
Racepinephrine	agonist	154	ADRB2	Activator	Racepinephrine154
Timolol	antagonist	154	ADRB2	Inhibitor	Timolol154
Fenoterol	agonist	154	ADRB2	Activator	Fenoterol154
Sotalol	antagonist	154	ADRB2	Inhibitor	Sotalol154
Pirbuterol	agonist	154	ADRB2	Activator	Pirbuterol154
Ritodrine	agonist	154	ADRB2	Activator	Ritodrine154
Levosalbutamol	agonist	154	ADRB2	Activator	Levosalbutamol154
Droxidopa	agonist	154	ADRB2	Activator	Droxidopa154
Etafedrine	agonist	154	ADRB2	Activator	Etafedrine154
Procaterol	agonist	154	ADRB2	Activator	Procaterol154
Formoterol	agonist	154	ADRB2	Activator	Formoterol154
Indacaterol	agonist	154	ADRB2	Activator	Indacaterol154
Salmeterol	agonist	154	ADRB2	Activator	Salmeterol154
Olodaterol	agonist	154	ADRB2	Activator	Olodaterol154
Levobunolol	antagonist	154	ADRB2	Inhibitor	Levobunolol154
Salbutamol	agonist	154	ADRB2	Activator	Salbutamol154
Carteolol	antagonist	154	ADRB2	Inhibitor	Carteolol154
Clenbuterol	agonist	154	ADRB2	Activator	Clenbuterol154
Dipivefrin	agonist	154	ADRB2	Activator	Dipivefrin154
Ephedrine	agonist	154	ADRB2	Activator	Ephedrine154
Protokylol	agonist	154	ADRB2	Activator	Protokylol154
Vibegron	agonist	155	ADRB3	Activator	Vibegron155
Racepinephrine	agonist	155	ADRB3	Activator	Racepinephrine155
Droxidopa	agonist	155	ADRB3	Activator	Droxidopa155
Isoprenaline	agonist	155	ADRB3	Activator	Isoprenaline155
Mirabegron	agonist	155	ADRB3	Activator	Mirabegron155
Norepinephrine	agonist	155	ADRB3	Activator	Norepinephrine155
Irbesartan	antagonist	185	AGTR1	Inhibitor	Irbesartan185
Candesartan cilexetil	antagonist	185	AGTR1	Inhibitor	Candesartan cilexetil185
Telmisartan	antagonist	185	AGTR1	Inhibitor	Telmisartan185
Valsartan	antagonist	185	AGTR1	Inhibitor	Valsartan185
Azilsartan medoxomil	antagonist	185	AGTR1	Inhibitor	Azilsartan medoxomil185
Olmesartan	antagonist	185	AGTR1	Inhibitor	Olmesartan185
Losartan	antagonist	185	AGTR1	Inhibitor	Losartan185
Eprosartan	antagonist	185	AGTR1	Inhibitor	Eprosartan185
Tapinarof	agonist	196	AHR	Activator	Tapinarof196
Aminolevulinic acid	inducer	210	ALAD	Activator	Aminolevulinic acid210
Patent Blue	binder	213	ALB	Ligand	Patent Blue213
Guanidine	inhibitor	217	ALDH2	Inhibitor	Guanidine217
Disulfiram	inhibitor	217	ALDH2	Inhibitor	Disulfiram217
Citric acid	inhibitor	231	AKR1B1	Inhibitor	Citric acid231
Ceritinib	antagonist	238	ALK	Inhibitor	Ceritinib238
Brigatinib	inhibitor	238	ALK	Inhibitor	Brigatinib238
Lorlatinib	inhibitor	238	ALK	Inhibitor	Lorlatinib238
Alectinib	inhibitor	238	ALK	Inhibitor	Alectinib238
Crizotinib	inhibitor	238	ALK	Inhibitor	Crizotinib238
Gilteritinib	inhibitor	238	ALK	Inhibitor	Gilteritinib238
Meclofenamic acid	inhibitor	240	ALOX5	Inhibitor	Meclofenamic acid240
Balsalazide	inhibitor	240	ALOX5	Inhibitor	Balsalazide240
Masoprocol	inhibitor	240	ALOX5	Inhibitor	Masoprocol240
Diethylcarbamazine	inhibitor	240	ALOX5	Inhibitor	Diethylcarbamazine240
Mesalazine	inhibitor	240	ALOX5	Inhibitor	Mesalazine240
Sulfasalazine	inhibitor	240	ALOX5	Inhibitor	Sulfasalazine240
Amifostine	inducer	251	ALPG	Activator	Amifostine251
Acarbose	inhibitor	279	AMY2A	Inhibitor	Acarbose279
Faricimab	antagonist	285	ANGPT2	Inhibitor	Faricimab285
Clodronic acid	inhibitor	291	SLC25A4	Inhibitor	Clodronic acid291
Clodronic acid	inhibitor	292	SLC25A5	Inhibitor	Clodronic acid292
Clodronic acid	inhibitor	293	SLC25A6	Inhibitor	Clodronic acid293
Hydrocortisone butyrate	other	301	ANXA1	Other	Hydrocortisone butyrate301
Hydrocortisone probutate	other	301	ANXA1	Other	Hydrocortisone probutate301
Fluocinolone acetonide	inducer	301	ANXA1	Activator	Fluocinolone acetonide301
Hydrocortisone phosphate	other	301	ANXA1	Other	Hydrocortisone phosphate301
Hydrocortisone acetate	other	301	ANXA1	Other	Hydrocortisone acetate301
Hydrocortisone cypionate	other	301	ANXA1	Other	Hydrocortisone cypionate301
Hydrocortisone	agonist	301	ANXA1	Activator	Hydrocortisone301
Hydrocortisone valerate	other	301	ANXA1	Other	Hydrocortisone valerate301
Fluocinolone acetonide	inducer	302	ANXA2	Activator	Fluocinolone acetonide302
Fluocinolone acetonide	inducer	306	ANXA3	Activator	Fluocinolone acetonide306
Fluocinolone acetonide	inducer	307	ANXA4	Activator	Fluocinolone acetonide307
Fluocinolone acetonide	inducer	308	ANXA5	Activator	Fluocinolone acetonide308
Dequalinium	antagonist|inhibitor	331	XIAP	Inhibitor	Dequalinium331
Volanesorsen	inhibitor|antisense oligonucleotide	345	APOC3	Inhibitor	Volanesorsen345
Florbetapir (18F)	binder	351	APP	Ligand	Florbetapir (18F)351
Flutemetamol (18F)	binder	351	APP	Ligand	Flutemetamol (18F)351
Florbetaben (18F)	binder	351	APP	Ligand	Florbetaben (18F)351
Lutetium Lu-177 vipivotide tetraxetan	binder	354	KLK3	Ligand	Lutetium Lu-177 vipivotide tetraxetan354
Gallium Ga-68 gozetotide	binder	354	KLK3	Ligand	Gallium Ga-68 gozetotide354
Clascoterone	antagonist	367	AR	Inhibitor	Clascoterone367
Testosterone cypionate	agonist	367	AR	Activator	Testosterone cypionate367
Methyltestosterone	agonist	367	AR	Activator	Methyltestosterone367
Testosterone undecanoate	agonist	367	AR	Activator	Testosterone undecanoate367
Testosterone	agonist	367	AR	Activator	Testosterone367
Flutamide	antagonist	367	AR	Inhibitor	Flutamide367
Dienogest	antagonist	367	AR	Inhibitor	Dienogest367
Enzalutamide	inhibitor	367	AR	Inhibitor	Enzalutamide367
Testosterone enanthate	agonist	367	AR	Activator	Testosterone enanthate367
Nilutamide	antagonist	367	AR	Inhibitor	Nilutamide367
Darolutamide	antagonist	367	AR	Inhibitor	Darolutamide367
Nandrolone decanoate	agonist	367	AR	Activator	Nandrolone decanoate367
Danazol	agonist	367	AR	Activator	Danazol367
Drospirenone	antagonist	367	AR	Inhibitor	Drospirenone367
Cyproterone acetate	antagonist	367	AR	Inhibitor	Cyproterone acetate367
Fluoxymesterone	agonist	367	AR	Activator	Fluoxymesterone367
Apalutamide	antagonist	367	AR	Inhibitor	Apalutamide367
Oxymetholone	agonist|activator	367	AR	Activator	Oxymetholone367
Nandrolone phenpropionate	agonist	367	AR	Activator	Nandrolone phenpropionate367
Stanozolol	agonist	367	AR	Activator	Stanozolol367
Oxandrolone	agonist	367	AR	Activator	Oxandrolone367
Bicalutamide	antagonist	367	AR	Inhibitor	Bicalutamide367
Dalteparin	potentiator	462	SERPINC1	Activator	Dalteparin462
Nadroparin	potentiator	462	SERPINC1	Activator	Nadroparin462
Heparin	potentiator	462	SERPINC1	Activator	Heparin462
Enoxaparin	potentiator	462	SERPINC1	Activator	Enoxaparin462
Sulodexide	potentiator	462	SERPINC1	Activator	Sulodexide462
Tinzaparin	potentiator	462	SERPINC1	Activator	Tinzaparin462
Fondaparinux	potentiator	462	SERPINC1	Activator	Fondaparinux462
Methotrexate	inhibitor	471	ATIC	Inhibitor	Methotrexate471
Pemetrexed	inhibitor	471	ATIC	Inhibitor	Pemetrexed471
Ciclopirox	binder	476	ATP1A1	Ligand	Ciclopirox476
Acetyldigitoxin	inhibitor	476	ATP1A1	Inhibitor	Acetyldigitoxin476
Almitrine	binder	476	ATP1A1	Ligand	Almitrine476
Etacrynic acid	inhibitor	476	ATP1A1	Inhibitor	Etacrynic acid476
Ouabain	inhibitor	476	ATP1A1	Inhibitor	Ouabain476
Trichlormethiazide	inhibitor	476	ATP1A1	Inhibitor	Trichlormethiazide476
Deslanoside	inhibitor	476	ATP1A1	Inhibitor	Deslanoside476
Digoxin	inhibitor	476	ATP1A1	Inhibitor	Digoxin476
Digitoxin	inhibitor	476	ATP1A1	Inhibitor	Digitoxin476
Bretylium	inhibitor	476	ATP1A1	Inhibitor	Bretylium476
Cyclothiazide	inhibitor	486	FXYD2	Inhibitor	Cyclothiazide486
Esomeprazole	inhibitor	495	ATP4A	Inhibitor	Esomeprazole495
Pantoprazole	inhibitor	495	ATP4A	Inhibitor	Pantoprazole495
Lansoprazole	inhibitor	495	ATP4A	Inhibitor	Lansoprazole495
Omeprazole	inhibitor	495	ATP4A	Inhibitor	Omeprazole495
Rabeprazole	inhibitor	495	ATP4A	Inhibitor	Rabeprazole495
Dexlansoprazole	inhibitor	495	ATP4A	Inhibitor	Dexlansoprazole495
Dexlansoprazole	inhibitor	496	ATP4B	Inhibitor	Dexlansoprazole496
Gallium nitrate	inhibitor	526	ATP6V1B2	Inhibitor	Gallium nitrate526
Thonzonium	inhibitor	528	ATP6V1C1	Inhibitor	Thonzonium528
Desmopressin	other	552	AVPR1A	Other	Desmopressin552
Conivaptan	antagonist	552	AVPR1A	Inhibitor	Conivaptan552
Terlipressin	agonist	552	AVPR1A	Activator	Terlipressin552
Lypressin	other	552	AVPR1A	Other	Lypressin552
Vasopressin	agonist|regulator	552	AVPR1A	Activator	Vasopressin552
Lypressin	other	553	AVPR1B	Other	Lypressin553
Terlipressin	agonist	553	AVPR1B	Activator	Terlipressin553
Vasopressin	agonist	553	AVPR1B	Activator	Vasopressin553
Desmopressin	other	553	AVPR1B	Other	Desmopressin553
Vasopressin	agonist|regulator	554	AVPR2	Activator	Vasopressin554
Terlipressin	agonist	554	AVPR2	Activator	Terlipressin554
Desmopressin	agonist	554	AVPR2	Activator	Desmopressin554
Lypressin	other	554	AVPR2	Other	Lypressin554
Tolvaptan	antagonist	554	AVPR2	Inhibitor	Tolvaptan554
Conivaptan	antagonist	554	AVPR2	Inhibitor	Conivaptan554
Gilteritinib	inhibitor	558	AXL	Inhibitor	Gilteritinib558
Edrophonium	inhibitor	590	BCHE	Inhibitor	Edrophonium590
Hexafluronium	inhibitor	590	BCHE	Inhibitor	Hexafluronium590
Echothiophate	inhibitor	590	BCHE	Inhibitor	Echothiophate590
Ketamine	inhibitor	590	BCHE	Inhibitor	Ketamine590
Dipivefrin	substrate	590	BCHE	Ligand	Dipivefrin590
Pyridostigmine	inhibitor	590	BCHE	Inhibitor	Pyridostigmine590
Malathion	inhibitor	590	BCHE	Inhibitor	Malathion590
Pralidoxime	activator	590	BCHE	Activator	Pralidoxime590
Rivastigmine	inhibitor	590	BCHE	Inhibitor	Rivastigmine590
Encorafenib	inhibitor	595	CCND1	Inhibitor	Encorafenib595
Arsenic trioxide	antagonist	595	CCND1	Inhibitor	Arsenic trioxide595
Paclitaxel	inhibitor	596	BCL2	Inhibitor	Paclitaxel596
Rasagiline	activator	596	BCL2	Activator	Rasagiline596
Venetoclax	antagonist|inhibitor	596	BCL2	Inhibitor	Venetoclax596
Idecabtagene vicleucel	binder	608	TNFRSF17	Ligand	Idecabtagene vicleucel608
Ciltacabtagene autoleucel	binder	608	TNFRSF17	Ligand	Ciltacabtagene autoleucel608
Teclistamab	antibody	608	TNFRSF17	Ligand	Teclistamab608
Imatinib	inhibitor	613	BCR	Inhibitor	Imatinib613
Ponatinib	inhibitor	613	BCR	Inhibitor	Ponatinib613
Bosutinib	inhibitor	613	BCR	Inhibitor	Bosutinib613
Icatibant	antagonist	624	BDKRB2	Inhibitor	Icatibant624
Gallium nitrate	antagonist	632	BGLAP	Inhibitor	Gallium nitrate632
Betaine	substrate	635	BHMT	Ligand	Betaine635
Riboflavin	product of	645	BLVRB	Other	Riboflavin645
Dibotermin alfa	ligand	657	BMPR1A	Ligand	Dibotermin alfa657
Dibotermin alfa	ligand	659	BMPR2	Ligand	Dibotermin alfa659
Regorafenib	inhibitor	673	BRAF	Inhibitor	Regorafenib673
Ripretinib	inhibitor	673	BRAF	Inhibitor	Ripretinib673
Sorafenib	inhibitor	673	BRAF	Inhibitor	Sorafenib673
Dabrafenib	inhibitor	673	BRAF	Inhibitor	Dabrafenib673
Vemurafenib	inhibitor	673	BRAF	Inhibitor	Vemurafenib673
Encorafenib	inhibitor	673	BRAF	Inhibitor	Encorafenib673
Nicotinamide	product of	683	BST1	Other	Nicotinamide683
Zanubrutinib	inhibitor	695	BTK	Inhibitor	Zanubrutinib695
Ibrutinib	inhibitor	695	BTK	Inhibitor	Ibrutinib695
Acalabrutinib	inhibitor	695	BTK	Inhibitor	Acalabrutinib695
Human C1-esterase inhibitor	inhibitor	715	C1R	Inhibitor	Human C1-esterase inhibitor715
Conestat alfa	inhibitor	715	C1R	Inhibitor	Conestat alfa715
Human C1-esterase inhibitor	inhibitor	716	C1S	Inhibitor	Human C1-esterase inhibitor716
Sutimlimab	inhibitor|antibody	716	C1S	Inhibitor	Sutimlimab716
Conestat alfa	inhibitor	716	C1S	Inhibitor	Conestat alfa716
Pegcetacoplan	binder|regulator	718	C3	Ligand	Pegcetacoplan718
Human immunoglobulin G	binder	718	C3	Ligand	Human immunoglobulin G718
Human immunoglobulin G	binder	720	C4A	Ligand	Human immunoglobulin G720
Human immunoglobulin G	binder	721	C4B	Ligand	Human immunoglobulin G721
