circuit_name,Certolizumab pegol,Etanercept,Infliximab,Adalimumab,Pomalidomide,Golimumab,Foreskin keratinocyte (neonatal),Glycyrrhizic acid,Zonisamide,Omega-3-carboxylic acids,Tyloxapol,Doconexent,Pioglitazone,Telmisartan,Bezafibrate,Rosiglitazone,Icosapent,Omega-3 fatty acids,Triflusal,Fluocinolone acetonide,Varenicline,Nicotine,Bumetanide,Levetiracetam,Ziconotide,Niacin,Gallium nitrate,Canakinumab,Dronabinol,Nabilone,Tofacitinib,Baricitinib,Sargramostim,Muromonab,Carfilzomib,Balsalazide,Mesalazine,Deucravacitinib,Ruxolitinib,Peginterferon alfa-2b,Interferon alfa-n3,Nylidrin,Interferon beta-1b,Interferon alfa-2a,Interferon alfacon-1,Interferon alfa-n1,Peginterferon alfa-2a,Interferon alfa-2b,Interferon beta-1a,Elotuzumab,Aldesleukin,Denileukin diftitox,Alemtuzumab,Dasatinib,Lipegfilgrastim,Pegfilgrastim,Filgrastim,Lenograstim,Eflapegrastim,Sulfasalazine,Diethylcarbamazine,Meclofenamic acid,Masoprocol,Acalabrutinib,Zanubrutinib,Ibrutinib,Lifitegrast,Antithymocyte immunoglobulin (rabbit),Idelalisib,Copanlisib,Duvelisib
Toll-like receptor signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,0.5409790422049237,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0493043729098548,0.0476326785500506,0.0,0.0,0.0,0.0,0.0,0.07820912937287994,0.0819580844098473,0.0819580844098473,0.0607918743138974,0.0607918743138974,0.0680115332877931,0.0680115332877931,0.0914779133429215,0.0644654887876232,0.0666246595207405,0.06798139590981955,0.06798139590981955,0.1155880583902732,0.09179979583903314,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.089184881338636,0.1259081155490197,0.244355494976688,0.2013629816391317,0.143902220970905,0.1483873431005219,0.148893634262851,0.148893634262851,0.148893634262851,0.148893634262851,0.148893634262851,0.1359627918196391,0.1359627918196391,0.1359627918196391,0.1359627918196391,0.1466588067099521,0.1466588067099521,0.1466588067099521,0.2273836679779711,0.2273836679779711,0.2068964262176785,0.2068964262176785,0.2068964262176785
Tuberculosis,1.0,1.0,1.0,1.0,1.0,1.0,0.535806499821463,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0598538409520176,0.0558031067466007,0.0,0.0,0.0,0.0,0.0,0.10489772226108729,0.0716129996429261,0.0716129996429261,0.0547617001642183,0.0547617001642183,0.0569210092010643,0.0569210092010643,0.0807757613862792,0.0559281394858077,0.06242252472537485,0.055546476625493,0.055546476625493,0.0959378268972088,0.07642941804913655,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.0731258708486764,0.1387045191874753,0.2427373740514675,0.2195756187554982,0.1360781579702593,0.1426843314366224,0.1131306015235393,0.1131306015235393,0.1131306015235393,0.1131306015235393,0.1131306015235393,0.111092953250986,0.111092953250986,0.111092953250986,0.111092953250986,0.1274587737150688,0.1274587737150688,0.1274587737150688,0.2017573168888267,0.2017573168888267,0.1803165045739125,0.1803165045739125,0.1803165045739125
AGE-RAGE signaling pathway in diabetic complications,1.0,1.0,1.0,1.0,1.0,1.0,0.5365365421187472,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0396498443656472,0.0,0.0,0.0,0.0,0.0,0.0,0.0664031291482279,0.0730730842374944,0.0730730842374944,0.0505522507407515,0.0505522507407515,0.0566297671789929,0.0566297671789929,0.0740585135866305,0.0719409191113193,0.05833433037476445,0.06379631565047394,0.06379631565047394,0.0846002492359051,0.07061500820744901,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.0632957320134547,0.1254749084219603,0.23115634259980689,0.2014423125957923,0.1461263832280203,0.1489692559862813,0.1283219038523451,0.1283219038523451,0.1283219038523451,0.1283219038523451,0.1283219038523451,0.1275926313009479,0.1275926313009479,0.1275926313009479,0.1275926313009479,0.1232028467298507,0.1232028467298507,0.1232028467298507,0.2316311974759516,0.2316311974759516,0.179365255070772,0.179365255070772,0.179365255070772
Legionellosis,1.0,1.0,1.0,1.0,1.0,1.0,0.539127462664817,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0450343248886465,0.0486694362582124,0.0,0.0,0.0,0.0,0.0,0.07658332922418215,0.078254925329634,0.078254925329634,0.0488686280099312,0.0488686280099312,0.0616819556136536,0.0616819556136536,0.0786484536915169,0.0681423773537116,0.06308160887046445,0.0606514763889642,0.0606514763889642,0.0911567840597652,0.0764193698367094,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.068236691963927,0.1266810556914816,0.22270512268759368,0.1889150934280344,0.1291553867487268,0.1239942834773018,0.1494855872189849,0.1494855872189849,0.1494855872189849,0.1494855872189849,0.1494855872189849,0.1213029527779284,0.1213029527779284,0.1213029527779284,0.1213029527779284,0.116333175798327,0.116333175798327,0.116333175798327,0.1997911299136601,0.1997911299136601,0.1646670957677413,0.1646670957677413,0.1646670957677413
Antigen processing and presentation,1.0,1.0,1.0,1.0,1.0,1.0,0.5295809442916034,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0366706494478355,0.0,0.0,0.0,0.0,0.0,0.06984758271249335,0.0591618885832068,0.0591618885832068,0.0476408043816742,0.0476408043816742,0.0487549692555314,0.0487549692555314,0.0588532536270455,0.0738001358039537,0.06484118048014614,0.0391720824140512,0.0391720824140512,0.0711575166429836,0.0599562429492575,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.0500484691090296,0.1528908619214572,0.2584900862428199,0.2480915831780154,0.1272576851914377,0.1556554690098937,0.0811394999202799,0.0811394999202799,0.0811394999202799,0.0811394999202799,0.0811394999202799,0.0783441648281024,0.0783441648281024,0.0783441648281024,0.0783441648281024,0.1020987289333487,0.1020987289333487,0.1020987289333487,0.2081870437500306,0.2081870437500306,0.1540122640537,0.1540122640537,0.1540122640537
Inflammatory bowel disease (IBD),1.0,1.0,1.0,1.0,1.0,1.0,0.5351323405070817,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0455474807256206,0.0453333813049604,0.0,0.0,0.0,0.0,0.0,0.0701002286323445,0.0702646810141634,0.0702646810141634,0.0384251482574578,0.0384251482574578,0.0488423952814036,0.0488423952814036,0.064976541053988,0.0575735892625278,0.05079964493942815,0.04704756447505765,0.04704756447505765,0.0661731163216773,0.05750775580154045,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.0495956149845818,0.112018047468378,0.19373464908115434,0.173159486815784,0.1083535103208409,0.1043526302873239,0.1110115609066651,0.1110115609066651,0.1110115609066651,0.1110115609066651,0.1110115609066651,0.0940951289501153,0.0940951289501153,0.0940951289501153,0.0940951289501153,0.0910787058649487,0.0910787058649487,0.0910787058649487,0.1604328691209645,0.1604328691209645,0.1320196845506201,0.1320196845506201,0.1320196845506201
Hepatitis C,1.0,1.0,1.0,1.0,1.0,1.0,0.5326280159984608,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0560493164635107,0.0525399123716885,0.0,0.0,0.0,0.0,0.0,0.07949714279887879,0.0652560319969216,0.0652560319969216,0.0445400599853999,0.0445400599853999,0.0448804219917841,0.0448804219917841,0.0620803287899252,0.0493587693881931,0.0570658973647931,0.03907529431693425,0.03907529431693425,0.0664862105176363,0.0556833162547102,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.0514200382402128,0.12025577840213,0.20942942817823085,0.1955330775279115,0.1123107528842953,0.118403510452461,0.0681002041944742,0.0681002041944742,0.0681002041944742,0.0681002041944742,0.0681002041944742,0.0781505886338685,0.0781505886338685,0.0781505886338685,0.0781505886338685,0.0923787485007708,0.0923787485007708,0.0923787485007708,0.1569128455272491,0.1569128455272491,0.1374734347694918,0.1374734347694918,0.1374734347694918
Toxoplasmosis,1.0,1.0,1.0,1.0,1.0,1.0,0.5373413141691186,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05355873734956405,0.0746826283382371,0.0746826283382371,0.0490628455082597,0.0490628455082597,0.042746750346546,0.042746750346546,0.0547647711646109,0.056331490161768,0.055517683053867145,0.0402272215910357,0.0402272215910357,0.0706273772216245,0.05668706378408525,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.0526391729013825,0.1237734160258829,0.2078363367230934,0.1854007234814662,0.1150725944493334,0.1176856099497092,0.0872098139611046,0.0872098139611046,0.0872098139611046,0.0872098139611046,0.0872098139611046,0.0804544431820714,0.0804544431820714,0.0804544431820714,0.0804544431820714,0.0935892703970521,0.0935892703970521,0.0935892703970521,0.1632120395865128,0.1632120395865128,0.1342898499805741,0.1342898499805741,0.1342898499805741
TGF-beta signaling pathway,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.2309707108638811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1785026740079343,0.0,0.0,0.0,0.1676757701341935,0.1368968455944063,0.1368968455944063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19800266727056376,0.196853986979903,0.0,0.0,0.125143752247573,0.125143752247573,0.125143752247573,0.125143752247573,0.125143752247573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1866957613808067,0.1866957613808067,0.119068572772673,0.119068572772673,0.119068572772673
Amyotrophic lateral sclerosis (ALS),1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1213004430132198,0.17879150475875333,0.1692689008029324,0.103583624239672,0.1055517296863082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1281224919932371,0.1281224919932371,0.0,0.0,0.0
Proteoglycans in cancer,1.0,1.0,1.0,1.0,1.0,1.0,0.5379607901501002,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0389835646370093,0.0456310119585912,0.0,0.0,0.0,0.0,0.0,0.064155023293544,0.0759215803002004,0.0759215803002004,0.0,0.0,0.0,0.0,0.0602614447888566,0.0504856649854,0.0280545875439164,0.03928623571615995,0.03928623571615995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1101130266878002,0.17560407626086255,0.1669824054783139,0.098468634380169,0.0789942617053587,0.0821185200592575,0.0821185200592575,0.0821185200592575,0.0821185200592575,0.0821185200592575,0.0785724714323199,0.0785724714323199,0.0785724714323199,0.0785724714323199,0.0687538482806908,0.0687538482806908,0.0687538482806908,0.1300784087763167,0.1300784087763167,0.0921198154947968,0.0921198154947968,0.0921198154947968
Apoptosis,0.9985085704822969,0.9985085704822969,0.9985085704822969,0.9985085704822969,0.9985085704822969,0.9985085704822969,0.5158905682525922,0.5874232177764239,0.03573221419724834,0.17633786507055083,0.17633786507055083,0.15753853008631177,0.15753853008631177,0.15753853008631177,0.15753853008631177,0.15753853008631177,0.15753853008631177,0.15753853008631177,0.0,0.009764501202790512,0.0,0.0,0.0,0.0,0.0,0.19679174817013775,0.033272566022887445,0.033272566022887445,0.0098622654610698,0.0098622654610698,0.014479774060385487,0.014479774060385487,0.1770233445088508,0.21454425492372428,0.15957218134121043,0.22168452935128172,0.22168452935128172,0.1457423631034546,0.08011106858192003,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.05629626653364861,0.4909478124708375,0.7286458462732516,0.6617408915338127,0.37512131376261687,0.3490994130485512,0.3715960730154283,0.3715960730154283,0.3715960730154283,0.3715960730154283,0.3715960730154283,0.28583052861625163,0.28583052861625163,0.28583052861625163,0.28583052861625163,0.2230450476490036,0.2230450476490036,0.2230450476490036,0.540815514882909,0.540815514882909,0.35748221435801436,0.35748221435801436,0.35748221435801436
NF-kappa B signaling pathway,0.9966439828507223,0.9966439828507223,0.9966439828507223,0.9966439828507223,0.9966439828507223,0.9966439828507223,0.5850106855943561,0.49832199142536115,0.0,0.0,0.0,0.01853520739953342,0.01853520739953342,0.01853520739953342,0.01853520739953342,0.01853520739953342,0.01853520739953342,0.01853520739953342,0.12047833263871288,0.04875852547110975,0.0,0.0,0.0,0.0,0.0,0.12151051619827895,0.17337738833798996,0.17337738833798996,0.1641021030852668,0.1641021030852668,0.19394767894425424,0.19394767894425424,0.25457024859024335,0.24904055265406347,0.16145344570951148,0.21496227447626845,0.21496227447626845,0.30658190981027933,0.2502647943772668,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.22272445809646174,0.3497138132937398,0.6709289234429155,0.517044233752048,0.42082401878249615,0.4925235143473997,0.41691159992465143,0.41691159992465143,0.41691159992465143,0.41691159992465143,0.41691159992465143,0.4113893415530035,0.4113893415530035,0.4113893415530035,0.4113893415530035,0.38042740481787024,0.38042740481787024,0.38042740481787024,0.6995511394023478,0.6995511394023478,0.5975515391563783,0.5975515391563783,0.5975515391563783
Natural killer cell mediated cytotoxicity,1.0,1.0,1.0,1.0,1.0,1.0,0.5426257418380742,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734438489613965,0.0852514836761484,0.0852514836761484,0.1213828464699254,0.1213828464699254,0.1424666997488098,0.1424666997488098,0.1290458578604476,0.1534499971388936,0.10984392434515824,0.12158611909930694,0.12158611909930694,0.2389325273102186,0.1906996135295142,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1504643788335059,0.1723102679751672,0.40394959834878397,0.294135269734326,0.2467633212864153,0.3202073763035584,0.2886552423621625,0.2886552423621625,0.2886552423621625,0.2886552423621625,0.2886552423621625,0.2431722381986139,0.2431722381986139,0.2431722381986139,0.2431722381986139,0.258789678519688,0.258789678519688,0.258789678519688,0.4584115223688864,0.4584115223688864,0.4047436212087528,0.4047436212087528,0.4047436212087528
